hour,token_col,collateral_amount_usd,debt_amount_usd,extracted,liquidation_count
2025-02-01 06:00:00,WETH,0,0,0,0
2025-02-01 05:00:00,WETH,0,0,0,0
2025-02-01 04:00:00,WETH,0,0,0,0
2025-02-01 03:00:00,WETH,0,0,0,0
2025-02-01 02:00:00,WETH,0,0,0,0
2025-02-01 01:00:00,WETH,0,0,0,0
2025-02-01 00:00:00,WETH,0,0,0,0
2025-01-31 23:00:00,WETH,0,0,0,0
2025-01-31 22:00:00,WETH,0,0,0,0
2025-01-31 21:00:00,WETH,0,0,0,0
2025-01-31 20:00:00,WETH,0,0,0,0
2025-01-31 19:00:00,WETH,0,0,0,0
2025-01-31 18:00:00,WETH,0,0,0,0
2025-01-31 17:00:00,WETH,0,0,0,0
2025-01-31 16:00:00,WETH,0,0,0,0
2025-01-31 15:00:00,WETH,0,0,0,0
2025-01-31 14:00:00,WETH,0,0,0,0
2025-01-31 13:00:00,WETH,0,0,0,0
2025-01-31 12:00:00,WETH,0,0,0,0
2025-01-31 11:00:00,WETH,0,0,0,0
2025-01-31 10:00:00,WETH,0,0,0,0
2025-01-31 09:00:00,WETH,0,0,0,0
2025-01-31 08:00:00,WETH,0,0,0,0
2025-01-31 07:00:00,WETH,0,0,0,0
2025-01-31 06:00:00,WETH,6.9850369935001995,6.680295775545,0.3047412179551996,1
2025-01-31 05:00:00,WETH,0,0,0,0
2025-01-31 04:00:00,WETH,0,0,0,0
2025-01-31 03:00:00,WETH,86.11065881475855,82.36413483035429,3.7465239844042557,2
2025-01-31 02:00:00,WETH,0,0,0,0
2025-01-31 01:00:00,WETH,0,0,0,0
2025-01-31 00:00:00,WETH,0,0,0,0
2025-01-30 23:00:00,WETH,0,0,0,0
2025-01-30 22:00:00,WETH,0,0,0,0
2025-01-30 21:00:00,WETH,0,0,0,0
2025-01-30 20:00:00,WETH,0,0,0,0
2025-01-30 19:00:00,WETH,0,0,0,0
2025-01-30 18:00:00,WETH,0,0,0,0
2025-01-30 17:00:00,WETH,0,0,0,0
2025-01-30 16:00:00,WETH,0,0,0,0
2025-01-30 15:00:00,WETH,0,0,0,0
2025-01-30 14:00:00,WETH,0,0,0,0
2025-01-30 13:00:00,WETH,0,0,0,0
2025-01-30 12:00:00,WETH,0,0,0,0
2025-01-30 11:00:00,WETH,0,0,0,0
2025-01-30 10:00:00,WETH,0,0,0,0
2025-01-30 09:00:00,WETH,0,0,0,0
2025-01-30 08:00:00,WETH,0,0,0,0
2025-01-30 07:00:00,WETH,0,0,0,0
2025-01-30 06:00:00,WETH,0,0,0,0
2025-01-30 05:00:00,WETH,0,0,0,0
2025-01-30 04:00:00,WETH,0,0,0,0
2025-01-30 03:00:00,WETH,0,0,0,0
2025-01-30 02:00:00,WETH,127.24939012934712,120.88338820562235,6.366001923724774,2
2025-01-30 01:00:00,WETH,0,0,0,0
2025-01-30 00:00:00,WETH,92.79116478672734,89.09074456099988,3.7004202257274557,1
2025-01-29 23:00:00,WETH,380.30990215640895,362.6345032178005,17.67539893860844,3
2025-01-29 22:00:00,WETH,0,0,0,0
2025-01-29 21:00:00,WETH,0,0,0,0
2025-01-29 20:00:00,WETH,0,0,0,0
2025-01-29 19:00:00,WETH,289.9939869171402,272.4198124708403,17.574174446299878,1
2025-01-29 18:00:00,WETH,0,0,0,0
2025-01-29 17:00:00,WETH,0,0,0,0
2025-01-29 16:00:00,WETH,0,0,0,0
2025-01-29 15:00:00,WETH,0,0,0,0
2025-01-29 14:00:00,WETH,0,0,0,0
2025-01-29 13:00:00,WETH,0,0,0,0
2025-01-29 12:00:00,WETH,0,0,0,0
2025-01-29 11:00:00,WETH,0,0,0,0
2025-01-29 10:00:00,WETH,0,0,0,0
2025-01-29 09:00:00,WETH,0,0,0,0
2025-01-29 08:00:00,WETH,0,0,0,0
2025-01-29 07:00:00,WETH,0,0,0,0
2025-01-29 06:00:00,WETH,0,0,0,0
2025-01-29 05:00:00,WETH,0,0,0,0
2025-01-29 04:00:00,WETH,0,0,0,0
2025-01-29 03:00:00,WETH,0,0,0,0
2025-01-29 02:00:00,WETH,61.01339434398018,57.9487815971367,3.06461274684348,1
2025-01-29 01:00:00,WETH,0,0,0,0
2025-01-29 00:00:00,WETH,94.18865057245887,90.44063532565602,3.7480152468028507,1
2025-01-28 23:00:00,WETH,436.64533106014153,415.6068975637332,21.038433496408345,1
2025-01-28 22:00:00,WETH,43568.54572702767,41409.36658077211,2159.1791462555575,3
2025-01-28 21:00:00,WETH,2007.9481179504294,1910.5284771591544,97.41964079127501,1
2025-01-28 20:00:00,WETH,0,0,0,0
2025-01-28 19:00:00,WETH,1132.3511500417187,1080.4262867436562,51.92486329806252,1
2025-01-28 18:00:00,WETH,0,0,0,0
2025-01-28 17:00:00,WETH,0,0,0,0
2025-01-28 16:00:00,WETH,0,0,0,0
2025-01-28 15:00:00,WETH,0,0,0,0
2025-01-28 14:00:00,WETH,0,0,0,0
2025-01-28 13:00:00,WETH,0,0,0,0
2025-01-28 12:00:00,WETH,0,0,0,0
2025-01-28 11:00:00,WETH,0,0,0,0
2025-01-28 10:00:00,WETH,0,0,0,0
2025-01-28 09:00:00,WETH,0,0,0,0
2025-01-28 08:00:00,WETH,0,0,0,0
