Threshold,Sharpe_Ratio
1161000000,0.7292
1162000000,0.7292
1163000000,0.6711
1164000000,0.6711
1165000000,0.6711
1166000000,0.6711
1167000000,0.6711
1168000000,0.6711
1169000000,0.6711
1170000000,0.6711
1171000000,0.6711
1172000000,0.6711
1173000000,0.6711
1174000000,0.6711
1175000000,0.6711
1176000000,0.6711
1177000000,0.6711
1178000000,0.6711
1179000000,0.6711
1180000000,0.6711
1181000000,0.6711
1182000000,0.6711
1183000000,0.6711
1184000000,0.6711
1185000000,0.6711
1186000000,0.6711
1187000000,0.6711
1188000000,0.6711
1189000000,0.6711
1190000000,0.6711
1191000000,0.6711
1192000000,0.6711
1193000000,0.6711
1194000000,0.6711
1195000000,0.6711
1196000000,0.6711
1197000000,0.6711
1198000000,0.6711
1199000000,0.6711
1200000000,0.6711
1201000000,0.6711
1202000000,0.6711
1203000000,0.6711
1204000000,0.6711
1205000000,0.6711
1206000000,0.6711
1207000000,0.5585
1208000000,0.5585
1209000000,0.5585
1210000000,0.5585
1211000000,0.5585
1212000000,0.5585
1213000000,0.5585
1214000000,0.5585
1215000000,0.5585
1216000000,0.5585
1217000000,0.5585
1218000000,0.5585
1219000000,0.3225
1220000000,0.3225
1221000000,0.3225
1222000000,0.3225
1223000000,0.3225
1224000000,0.3225
1225000000,0.3225
1226000000,0.3225
1227000000,0.3225
1228000000,0.3225
1229000000,0.3225
1230000000,0.3225
1231000000,0.3225
1232000000,0.3225
1233000000,0.3225
1234000000,0.3225
1235000000,0.3225
1236000000,0.3225
1237000000,0.3225
1238000000,0.3225
1239000000,0.3225
1240000000,0.3225
1241000000,0.3225
1242000000,0.3225
1243000000,0.3225
1244000000,0.3225
1245000000,0.3225
1246000000,0.3225
1247000000,0.3225
1248000000,0.3225
1249000000,0.3225
1250000000,0.3225
1251000000,0.3225
1252000000,0.3225
1253000000,0.3225
1254000000,0.3225
1255000000,0.3225
1256000000,0.3225
1257000000,0.3225
1258000000,0.3225
1259000000,0.3225
1260000000,0.3225
1261000000,0.3225
1262000000,0.3225
1263000000,0.3225
1264000000,0.3225
1265000000,0.3225
1266000000,0.3225
1267000000,0.3225
1268000000,0.3225
1269000000,0.3225
1270000000,0.3225
1271000000,0.3225
1272000000,0.3225
1273000000,0.3225
1274000000,0.3225
1275000000,0.3225
1276000000,0.3225
1277000000,0.3225
1278000000,0.3225
1279000000,0.3225
1280000000,0.3225
1281000000,0.3225
1282000000,0.3225
1283000000,0.3225
1284000000,0.3225
1285000000,0.3225
1286000000,0.3225
1287000000,0.3225
1288000000,0.3225
1289000000,0.3225
1290000000,0.3225
1291000000,0.3225
1292000000,0.3225
1293000000,0.3225
1294000000,0.3225
1295000000,0.3225
1296000000,0.3225
1297000000,0.3225
1298000000,0.3225
1299000000,0.3225
1300000000,0.3225
1301000000,0.3225
1302000000,0.3225
1303000000,0.3225
1304000000,0.3225
1305000000,0.3225
1306000000,0.3225
1307000000,0.3225
1308000000,0.3225
1309000000,0.3225
1310000000,0.3225
1311000000,0.3225
1312000000,0.3225
1313000000,0.3225
1314000000,0.3225
1315000000,0.3715
1316000000,0.3715
1317000000,0.3715
1318000000,0.3715
1319000000,0.3715
1320000000,0.3715
1321000000,0.3715
1322000000,0.3715
1323000000,0.3715
1324000000,0.3715
1325000000,0.3715
1326000000,0.3715
1327000000,0.3715
1328000000,0.3715
1329000000,0.3715
1330000000,0.3715
1331000000,0.3715
1332000000,0.3715
1333000000,0.3715
1334000000,0.3715
1335000000,0.3715
1336000000,0.3715
1337000000,0.3715
1338000000,0.3715
1339000000,0.3715
1340000000,0.3715
1341000000,0.3715
1342000000,0.3715
1343000000,0.3715
1344000000,0.3715
1345000000,0.3715
1346000000,0.3715
1347000000,0.3715
1348000000,0.3715
1349000000,0.3715
1350000000,0.3715
1351000000,0.5250
1352000000,0.5250
1353000000,0.5250
1354000000,0.5250
1355000000,0.5250
1356000000,0.5250
1357000000,0.5250
1358000000,0.5250
1359000000,0.5250
1360000000,0.5250
1361000000,0.5250
1362000000,0.5250
1363000000,0.5250
1364000000,0.5250
1365000000,0.5250
1366000000,0.5250
1367000000,0.5250
1368000000,0.5250
1369000000,0.5250
1370000000,0.5250
1371000000,0.5250
1372000000,0.5250
1373000000,0.5250
1374000000,0.5250
1375000000,0.1400
1376000000,-0.5210
1377000000,-0.5210
1378000000,-0.5210
1379000000,-0.5210
1380000000,-0.5210
1381000000,-0.5210
1382000000,-0.5210
1383000000,-0.5210
1384000000,-0.5210
1385000000,-0.5210
1386000000,-0.5210
1387000000,-0.5210
1388000000,-0.5210
1389000000,-0.5210
1390000000,-0.5210
1391000000,-0.5210
1392000000,-0.5210
1393000000,-0.5210
1394000000,-0.5210
1395000000,-0.5210
1396000000,-0.5210
1397000000,-0.5210
1398000000,-0.5210
1399000000,-0.5210
1400000000,-0.5210
1401000000,-0.5210
1402000000,-0.5210
1403000000,-0.5210
1404000000,-0.5210
1405000000,-0.5210
1406000000,-0.5210
1407000000,-0.5210
1408000000,-0.5210
1409000000,-0.5210
1410000000,-0.5210
1411000000,-0.5210
1412000000,-0.5210
1413000000,-0.5210
1414000000,-0.5210
1415000000,-0.5210
1416000000,-0.5210
1417000000,-0.5210
1418000000,-0.5210
1419000000,-0.5210
1420000000,-0.5210
1421000000,-0.5210
1422000000,-0.5210
1423000000,-0.5210
1424000000,-0.5210
1425000000,-0.5210
1426000000,-0.5210
1427000000,-0.5210
1428000000,-0.5210
1429000000,-0.5210
1430000000,-0.5210
1431000000,-0.5210
1432000000,-0.5210
1433000000,-0.5210
1434000000,-0.5210
1435000000,-0.5210
1436000000,-0.5210
1437000000,-0.5210
1438000000,-0.5210
1439000000,-0.5210
1440000000,-0.5210
1441000000,-0.5210
1442000000,-0.5210
1443000000,-0.5359
1444000000,-0.5359
1445000000,-0.5359
1446000000,-0.5359
1447000000,-0.5359
1448000000,-0.5359
1449000000,-0.5359
1450000000,-0.5359
1451000000,-0.5359
1452000000,-0.5359
1453000000,-0.5359
1454000000,-0.5359
1455000000,-0.5359
1456000000,-0.5359
